Source,Target,Year,Weight,Keywords
7006067236,7005909244,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006067236,8790525200,1987,2,"['', '']"
7006067236,8790525200,1991,1,['']
7006067236,8790525200,1993,1,['']
7006067236,8790525200,1990,1,['']
7006067236,8790525200,1989,1,"['Inelastic scattering', 'many-particle final states (energy&gt;10 GeV)']"
7006067236,8790525200,1988,1,['']
7006067236,8790525200,1981,1,['']
7006067236,8790525200,1977,1,['']
7006067236,8790525200,2009,2,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006067236,8790525200,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006067236,8790525200,1980,1,['']
7006067236,8790525200,2015,2,"['Diagnostic', 'FPGA', 'Gateware', 'Object oriented hardware', 'Reconfigurable electronic', 'Software model', 'CMS', 'Ethernet', 'FPGA', 'IPBus', 'Serial transmission']"
7006067236,8791919400,1996,1,['']
7006067236,8791919400,1997,1,['']
7006067236,8791919400,1998,1,['']
7006067236,8791919400,1999,2,"['', '']"
7006067236,8791919400,2000,2,"['', '']"
7006067236,8791919400,1993,1,['']
7006067236,8791919400,2003,1,"['Gas gain', 'Ionisation detectors', 'RPC', 'SF 6']"
7006067236,8791919400,2004,2,"['Bakelite', 'Gas gain', 'Ionisation detectors', 'Noise', 'RPC', 'SF 6', '']"
7006067236,8791919400,1995,1,['']
7006067236,8791919400,2007,1,"['CERN', 'CMS', 'Data acquisition', 'FPGA', 'LHC', 'Muon trigger', 'Readout', 'RPC']"
7006067236,8791919400,2009,2,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006067236,8791919400,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006067236,8791919400,2015,2,"['Diagnostic', 'FPGA', 'Gateware', 'Object oriented hardware', 'Reconfigurable electronic', 'Software model', 'CMS', 'Ethernet', 'FPGA', 'IPBus', 'Serial transmission']"
7006067236,35227743700,2005,1,"['Afterglows', 'CCD cameras', 'Detectors', 'Gamma Ray Bursts', 'GRB', 'Optical flashes', 'Robotic telescopes']"
7006067236,35227743700,2006,1,"['Afterglows', 'Detectors', 'Gamma Ray Bursts (GRB)', 'Optical flashes', 'Robotic telescopes', 'Sky survey']"
7005909244,8790525200,2009,1,"['CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7005909244,8790525200,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7005909244,8791919400,2004,1,['']
