Country,Source,Target,Year,Weight,Keywords
Russian Federation,7402986699,26642873800,2018,1,"['Aluminum oxide', 'Diffusion', 'Ion irradiation', 'Meyer–Neldel rule', 'Neutron irradiation', 'Optical absorption', 'Radiation defects', 'Thermal annealing']"
Russian Federation,7004188422,26642873800,2007,6,"['Ab initio calculations', 'Ag and Cu adatom aggregation', 'MgO(0 0 1) substrate', 'Statistical thermodynamics approach', 'Surface F centers s', '', 'Ab initio periodic calculations', 'Bare substrate surfaces', 'Binary and ternary metal oxides', 'Bulk', 'Electronic properties of defective metal oxides', 'Metal/oxide interfaces', 'Neutral F centers (oxygen vacancies)', 'Point defect formation and migration', 'Atomic and electronic structure', 'Cubic and orthorhombic PbZrO phases 3', 'Hybrid DFT calculations', 'Single F-center', '', '']"
Russian Federation,7004188422,26642873800,2008,6,"['Ab initio calculations', 'Interfacial Li storage', 'Me/LiX nanocomposites', 'Defect migration', 'First-principles calculations', 'Frenkel defects', 'O impurity', 'Supercell model', 'Uranium mononitride (UN)', '', 'Actinides', 'First-principles calculations', 'Uranium nitride', '', '']"
Russian Federation,7004188422,26642873800,2009,4,"['Chemisorption', 'Density functional calculations', 'Oxygen', 'Uranium nitride', 'A. ABO perovskites 3', 'C. Oxygen vacancies', 'D. Optical properties', 'E. ab initio calculations', '', 'ABO perovskites 3', 'DFT calculations', 'F-center', 'Low index surfaces']"
Russian Federation,7004188422,26642873800,2010,3,"['Actinide oxide', 'Correlation correction', 'DFT', 'Incorporation energy', '', '']"
Russian Federation,7004188422,26642873800,2011,1,['']
Russian Federation,7004188422,26642873800,2012,1,['']
Russian Federation,7004188422,26642873800,2013,1,['']
Russian Federation,7004188422,26642873800,2014,2,"['Hydrogen adsorption', 'Hydrogenation', 'Surface metallization', 'Surface relaxation', 'Zinc oxide', 'hydrogen incorporation', 'shallow donor', 'surface relaxation and metallization', 'zinc oxide']"
Russian Federation,7004188422,26642873800,2015,1,['']
Russian Federation,7004188422,26642873800,2016,3,"['Hybrid DFT-LCAO calculations', 'Oxygen interstitial', 'Transition states of migration', 'α-Al O (corundum, sapphire) 2 3', 'defect migration', 'defects', 'density functional theory calculations', 'iron', 'oxygen', 'vacancies', 'corundum', 'defects', 'diffusion', 'first principles calculations', 'oxygen interstitial']"
Russian Federation,7004188422,26642873800,2017,2,"['', 'Charged oxygen interstitial diffusion', 'Hybrid DFT-LCAO calculations', 'α-Al O (corundum, sapphire) 2 3']"
Russian Federation,7004188422,26642873800,2018,2,"['ab initio calculations', 'ODS steel', 'Y O nanoparticles 2 3', 'defects', 'DFT calculations', 'oxide dispersion strengthened (ODS) steels', 'yttrium oxide']"
Russian Federation,7005635365,26642873800,2008,1,['']
Russian Federation,7005635365,26642873800,2010,2,"['Ab initio calculations', 'Atomic and electronic structure', 'Effective charges', 'MgF  crystal 2', 'Optical band gap', 'Surface relaxation', 'Surfaces', 'Ab initio calculations', 'Defects atomic and electronic structure', 'Nb doped SrTiO 3']"
Russian Federation,7005635365,26642873800,2011,1,"['Ab initio calculations', 'Atomic and electronic structure', 'MgF 2', 'Surfaces']"
Russian Federation,7005635365,26642873800,2012,1,['']
Russian Federation,8514048300,26642873800,2007,1,['']
Russian Federation,8514048300,26642873800,2008,1,['']
Russian Federation,8514048300,26642873800,2009,2,"['', 'ABO perovskites 3', 'DFT calculations', 'F-center', 'Low index surfaces']"
Russian Federation,8514048300,26642873800,2010,1,['']
Russian Federation,8514048300,26642873800,2011,2,"['', '']"
Russian Federation,8514048300,26642873800,2012,2,"['ABO perovskites 3', 'mechanism', 'point defects', 'SOFC', 'surface reaction', '']"
Russian Federation,8514048300,26642873800,2013,1,"['Defects', 'Density functional theory', 'Disorder', 'Oxygen permeation membranes', 'Phase decomposition', 'Solid oxide fuel cells']"
Russian Federation,8514048300,26642873800,2014,1,"['Antisite defects', 'Clustering effect', 'First principles calculations', 'Frenkel and Schottky disorder', 'Solid solutions']"
Russian Federation,8514048300,26642873800,2015,2,"['Ab initio calculations', 'Ag adsorption', 'LaMnO&lt;inf&gt;3&lt;/inf&gt;', 'Solid oxide fuel cells', 'Surface', 'Co&lt;inf&gt;3&lt;/inf&gt;O&lt;inf&gt;4&lt;/inf&gt;', 'Free-energy diagram', 'Spinel oxide', 'Surface', 'Water sorption']"
Russian Federation,8514048300,26642873800,2016,2,"['(La,Sr)(Co,Fe)O3', 'Cathode', 'First Principal Calculations', 'Oxygen Vacancy', 'Pd-doping', 'Solide Oxide Fuel Cells', 'defect migration', 'defects', 'density functional theory calculations', 'iron', 'oxygen', 'vacancies']"
Russian Federation,8514048300,26642873800,2017,1,['']
Russian Federation,8514048300,26642873800,2018,1,"['ab initio calculations', 'ODS steel', 'Y O nanoparticles 2 3']"
Russian Federation,26642873800,7004154334,2007,3,"['', '', 'Atomic and electronic structure', 'Cubic and orthorhombic PbZrO phases 3', 'Hybrid DFT calculations', 'Single F-center']"
Russian Federation,26642873800,7004154334,2008,3,"['', '', '']"
Russian Federation,26642873800,7004154334,2009,2,"['A. ABO perovskites 3', 'C. Oxygen vacancies', 'D. Optical properties', 'E. ab initio calculations', 'ABO perovskites 3', 'DFT calculations', 'F-center', 'Low index surfaces']"
Russian Federation,26642873800,7004154334,2010,1,['']
Russian Federation,26642873800,7004154334,2011,1,['']
Russian Federation,26642873800,7004154334,2012,1,"['Adsorption and dissociation of CH  molecule 4', 'Association of C adatoms', 'DFT-LCAO CRYSTAL code', 'Formation of carbon semi-fullerenes', 'Growth of capped CNTs', 'Smooth and nanostructured Ni(111) substrates', 'Swelling of carbon nanoflakes']"
Russian Federation,26642873800,7004154334,2013,1,"['Atomic and electronic structure', 'First-principles calculations', 'H-centers', 'MgF2', 'Point defects']"
Russian Federation,26642873800,7004154334,2014,1,"['First principles calculations', 'Radiation defects', 'Radiation resistance']"
Russian Federation,26642873800,7004154334,2015,1,['']
Russian Federation,26642873800,7004154334,2016,2,"['Hybrid DFT-LCAO calculations', 'Oxygen interstitial', 'Transition states of migration', 'α-Al O (corundum, sapphire) 2 3', 'corundum', 'defects', 'diffusion', 'first principles calculations', 'oxygen interstitial']"
