ID,EGO_COUNTRY,EGO_CITATIONS,EGO_PAPERS,EGO_COAUTHORS
36046587800,Germany,44371,737,821
7103228850,Germany,37355,911,2428
7202833074,Germany,50618,1066,19499
6602737140,Germany,49775,1009,16758
35227087300,Germany,48887,929,15742
35277847900,Germany,50454,1033,22507
7006473964,Germany,43301,1013,16642
7005502556,Germany,42887,835,894
35227294200,Germany,42593,767,14616
8719356400,Germany,48674,1084,16821
6603050511,Germany,46591,713,15150
10043778500,Germany,48691,1005,16710
35228160000,Germany,37320,822,15117
35558385000,Germany,44230,887,16016
7401839687,Germany,55983,1294,19014
6602909138,Germany,49084,1005,19303
35227996100,Germany,49643,1025,16543
57191773533,Germany,45183,1013,1633
12781680300,Germany,43907,989,16115
7005326245,Germany,47907,1130,17535
35277450300,Germany,40947,852,16270
55520163700,Germany,29355,623,2037
31967708800,Germany,52365,1370,20970
35227972900,Germany,47630,1246,8507
34882096000,Germany,55108,1191,20183
7202641523,Denmark,159445,730,2797
8062453000,Germany,40969,881,15498
36046783700,Germany,53808,1145,5827
56363077100,Germany,53642,1486,2387
56029998100,Germany,58030,1128,18551
35227144500,Germany,67120,1498,20495
56597596100,Germany,99793,1905,26855
35227746300,Germany,54086,990,16030
36044578700,Germany,57517,1087,17613
35228210800,Germany,53232,986,15233
35308901700,Germany,87147,899,17017
56448125700,Germany,63651,1203,18875
56042878100,Germany,57708,793,4527
7005520224,Germany,56006,1105,17755
57202556932,Germany,71029,1549,23185
35431781900,Germany,52425,1140,921
35355123900,Germany,54141,891,10122
7403505046,Germany,54409,1164,17169
57203078900,Germany,52334,948,433
7201832825,Germany,72164,1446,14414
7402870125,Germany,80998,763,6237
35376932100,Germany,49351,978,2315
7101801755,Germany,79529,1374,21859
35277690600,Germany,66721,1032,19828
14625680200,Germany,42403,665,16484
36064172000,Germany,51699,836,6323
7004705753,Germany,26,13,5854
56024254100,Germany,71260,1272,19495
35227994300,Germany,65812,1433,20365
8903088900,Germany,65380,1389,19845
24076563200,Germany,64739,1153,22955
35228094600,Germany,57810,1296,18628
7402963940,United States,31592,750,10292
35277586500,Germany,75015,1359,22188
35926846100,Germany,98858,1313,23022
8903094300,Germany,68859,1634,21772
7004135079,Germany,56324,1179,20083
36044882000,Germany,50211,728,1042
35430862300,Germany,54319,924,11930
7102274048,Germany,65843,1101,19462
7103185149,Germany,91538,811,1067
57197558715,Germany,64245,946,5613
56439016700,Germany,57621,1242,19133
55066608000,Germany,85612,2222,3756
56438908200,Germany,56224,1097,18387
35227374900,Germany,62053,1318,19840
57202562075,Germany,56791,1126,19517
56438863200,Germany,55981,1029,17152
57050399800,Germany,89113,716,5211
7006875836,Germany,95097,1273,22128
31967524300,France,56622,1317,20253
7005947314,Germany,56567,1235,20762
7102531000,Germany,53119,1080,18174
57203056792,Germany,84303,1777,4810
7103219883,Germany,57737,1156,18271
35314676600,Germany,24,13,3472
35313561200,Germany,55494,1151,18528
24430947200,Germany,63626,701,6767
22996961300,Germany,57765,1185,19639
35227836300,Germany,95746,1435,21873
55606844200,Germany,50405,1341,840
7102574024,Germany,82977,841,8200
36049986500,Germany,0,0,0
55027467100,United Kingdom,90504,721,834
35227648200,Germany,56873,1238,21523
55871516700,Germany,53074,747,1095
56424971500,United States,59611,995,20071
16020503000,Germany,60562,1243,21459
24299225600,Germany,59704,1258,3974
7103125178,Germany,73331,1037,3430
36047278500,Germany,113774,1959,3271
35227396800,Germany,61758,1079,15651
57201642612,Germany,61012,1178,23427
56866707500,Germany,60043,1307,15372
35227214700,Germany,53787,1130,19856
35511455300,Germany,56118,934,1207
8790523400,Germany,60450,1430,22293
56438990000,Germany,52953,1040,17106
55058315300,Germany,44950,1017,2275
8748371100,Germany,48730,747,687
14634009700,Germany,50309,934,17266
35230028400,Germany,63241,1421,21767
55154772500,Germany,47530,1129,1324
35372254600,Germany,57592,1019,3914
36071970300,Germany,75330,1868,5672
35392235500,Germany,75829,1287,3532
7004900619,Germany,58380,1088,6283
7101777373,Germany,60113,928,863
34975087600,Germany,66592,669,1356
36050187000,Germany,58901,1928,2777
35227807300,Germany,55361,1182,19455
7102183906,Germany,55697,1003,2355
7005344981,Germany,60807,1319,21327
56253704800,Germany,67013,862,2704
24755802900,Germany,61576,1016,22525
13906348600,Germany,56392,1299,17750
55780097500,Germany,59024,1558,6318
34975054600,Germany,54957,1188,20835
35388173900,Germany,61733,1161,22733
8903076100,Germany,65302,1275,19837
57202563228,United States,23,2,3311
55538128300,Greece,54391,1247,20540
35227566400,Greece,53104,1088,19176
35227633100,Greece,48388,683,13737
44861256700,Greece,44829,907,16859
36051235900,Greece,95271,1420,3207
36045489100,Greece,40067,1357,3052
6603900870,Greece,43991,952,16880
56126562600,Greece,42241,721,15982
35372963400,United States,68855,996,4734
35228088700,Greece,49108,1026,20122
12759158300,Greece,52387,1129,19295
8086252800,Greece,53595,1210,18974
35314689300,Greece,52957,1096,17517
14056004100,Greece,49836,1141,19695
35275841400,Greece,44468,828,15116
7003738522,Greece,49600,1049,17209
35227287700,Greece,70129,1356,17943
35227290100,Greece,52949,1172,19471
57202562722,Greece,52382,1077,18372
56448218100,Greece,51718,906,5534
35276893000,Greece,42275,911,16036
6701389778,Greece,55387,1228,19188
7005937977,Greece,49206,825,16501
8951919500,Hungary,47859,1061,14981
35278066400,Switzerland,42271,684,16609
55944045000,Hungary,47374,707,15370
35227079200,Hungary,43111,710,16342
34572244600,Hungary,53788,1105,22455
55579743500,Hungary,48608,840,14724
14719607800,Hungary,47538,858,17173
35228078600,Hungary,47968,798,16566
35227175400,Ireland,28915,701,14218
55172704900,Ireland,81837,1248,20994
56142584700,Ireland,37159,785,1058
14045516300,Italy,57384,1278,19521
7005172541,Italy,45692,805,15113
55134417500,Italy,45920,873,17059
7006961565,Italy,44666,1026,16781
35421128300,France,23317,501,753
35227162300,Italy,48424,1080,17016
35226955000,Italy,58254,1216,19616
55159135900,Italy,67078,1115,18453
35227140200,Italy,50100,1041,17136
35227951800,Italy,44255,1341,18452
56810711000,Italy,45807,1061,17342
36040339400,Italy,55343,685,2169
56978805100,Italy,62330,1446,18263
56448238300,Italy,46984,865,16877
7005366043,Italy,45696,974,17776
7006417288,Italy,49153,1154,19690
35228206500,Italy,55616,1421,16295
7005863934,Italy,56778,1234,19603
56448262200,Italy,48949,1135,19552
35285557300,Italy,40803,1035,16166
7006418936,Italy,56994,1293,20029
35227730200,Italy,38237,993,7924
6602946397,Italy,42962,870,16196
18539228500,Italy,41052,860,16105
7101609791,Italy,57709,1152,19126
55536726900,Italy,80743,1771,22587
35227483400,Italy,47215,1271,13534
56284115800,Italy,49843,1140,19232
56802829900,Italy,44586,975,17191
7005583039,Italy,47251,1004,18074
35313916500,Italy,57134,1261,19408
35271010300,Switzerland,46655,1280,11641
24725636500,Italy,45539,1011,18184
35285543100,Italy,46962,763,15771
7004015014,Italy,44860,953,18219
35239828600,Italy,41833,1006,16880
7004072071,Italy,42016,950,16107
7004827999,Italy,45320,971,15984
23025523000,Italy,46489,923,14828
56448183900,Italy,46066,833,16715
35351598200,Italy,65889,1359,18730
56272810500,Italy,43537,787,16273
35227988700,Italy,44733,1336,17794
35227748400,Italy,57498,1372,16937
7006275561,Italy,45734,840,17272
7004328842,Italy,42785,1013,16650
7003853929,Italy,45690,947,15765
35100110600,Italy,48367,1046,19458
35951397300,Italy,46492,853,16505
56235516500,Italy,47510,970,16651
56448237000,Italy,50686,1073,18632
35272832300,Italy,64166,1357,18835
7004437920,Italy,47468,941,16653
35228073100,Italy,45558,1140,8529
35227037900,Italy,60299,1381,21150
56233925800,Italy,43770,835,16931
55429301600,Italy,38960,733,1529
15063819200,Italy,41553,889,16630
55254610800,Italy,66584,1555,21699
35227968200,Italy,58866,1159,17344
35227793200,Italy,45206,745,15126
7003981571,Italy,45718,1013,16053
35227264600,Italy,65602,1494,21288
18036890100,Italy,44855,1004,17844
25942594600,Italy,46004,996,16161
35227631000,Italy,41941,1144,8164
7005282801,Italy,42651,697,13372
35355091800,Italy,36308,853,5310
35354455800,Italy,79958,1389,7819
7003540815,Italy,42275,956,15797
7006816869,Italy,45865,911,16012
7202268530,Italy,59995,1095,2275
7101889523,Italy,57982,1094,16896
35227789000,Italy,48046,1100,18513
8247717600,Italy,46230,1004,18309
6701632283,Italy,46421,1042,19295
56608839000,Italy,45862,970,16230
35227162900,Italy,46827,1247,14099
7006316549,Italy,47963,1064,18761
35352820900,Italy,43983,1199,12126
12796451700,Italy,47745,1048,19513
7201788288,Italy,53679,1221,5310
25940585700,Italy,48816,1068,16289
16239393300,Italy,41396,872,16484
56808147200,Italy,61630,1444,18835
36037418800,Italy,38103,836,10272
24473045500,Italy,43965,1113,9921
7102479035,Italy,57674,1219,19319
37085052200,Italy,49263,1120,18391
55412398100,Italy,59959,1293,20024
55169492300,Italy,89395,1957,27618
35313296500,Italy,57706,1144,18120
26656105000,Italy,41462,882,16595
7007057809,Italy,47075,1018,16060
35227168100,Italy,65542,1356,18255
7202041613,Italy,57886,1242,19734
56236886700,Russian Federation,42185,875,3009
35227178400,Italy,45833,968,17888
56566239800,Italy,41425,890,16614
54797559300,Italy,42287,951,15445
37036023500,Italy,60817,1436,21883
10044736900,Italy,47930,1040,17320
35227052100,Italy,77456,1687,21270
6603119897,Italy,42117,919,16704
6506398488,Italy,41451,884,16563
7102168325,Italy,44351,1426,2503
57191950070,Italy,42364,999,16398
7003373854,Italy,42442,955,16172
7103354697,Italy,43609,709,10245
7101800587,Italy,100,5,12
57042379100,Italy,45145,992,18624
35226927000,Italy,37908,849,4947
25940940600,Italy,56215,1124,19478
7003663342,Italy,56354,1325,19985
7005281007,Italy,53044,1168,19115
22136063900,Italy,44125,1015,16098
35227850200,Italy,54641,1236,17809
8791870700,Italy,51972,1118,18825
9744960600,Italy,41567,883,16074
36039531600,Italy,39302,802,9435
35227306900,Italy,50569,861,16021
57202557625,Italy,44028,1012,15938
55667348900,Italy,53447,1308,20256
25025562700,Italy,53335,955,16504
56967736500,Italy,52961,1412,15419
57042385500,Italy,52968,977,16855
37092789400,Italy,46994,1204,17805
56448239800,Italy,54568,1161,19273
16473849600,Italy,43017,1135,16995
56651889700,Italy,42758,859,14844
6701827788,Italy,42851,909,16206
7004878163,Italy,43410,941,16804
7006603224,Italy,52974,969,16758
56448159500,Italy,52143,1186,19701
55411959900,Italy,55871,1201,19387
35227622600,Italy,73470,1740,21810
36148321100,Italy,70104,1665,21308
6701744508,Italy,45706,910,16371
35226934500,Italy,48236,1269,10137
7006944872,Italy,56529,1249,19485
7102422627,Italy,55016,1232,19269
35277534000,United States,50355,1329,20636
34869079000,Italy,51373,1050,17195
22938714100,Italy,40644,874,16425
6701308547,Italy,41495,877,15953
7203060975,Italy,44186,974,16372
35227713900,Italy,77084,1122,8060
7004087284,Italy,52508,1210,19268
35314826300,Italy,55235,1045,17879
7006820740,Italy,54775,1185,19496
55708452100,Italy,43957,919,15500
36170321000,Italy,54092,1249,19424
7003919278,Italy,52927,1202,19525
6603914923,Italy,43973,824,15365
7003833584,Italy,43940,1021,16326
7003676102,Italy,43944,1002,16479
35227146300,Italy,53416,1221,18333
7201774556,Italy,113997,1117,2958
7003406205,Italy,43137,963,16026
35227891800,Italy,51228,1020,17919
35226935900,Italy,73530,1479,21785
7007185851,Italy,40072,865,13929
35227045400,Italy,38959,874,11266
35227609900,Italy,41449,1086,8274
35376789100,Italy,34649,741,3115
6603972649,Italy,42209,765,14689
35227664800,Italy,50918,1148,19399
56889137700,Italy,49179,1005,8079
8859589200,Italy,54485,1214,19228
56870887100,Italy,53554,1213,19719
7202821559,Italy,35834,934,3909
35278220700,Italy,32250,463,10240
35227687400,Italy,54932,1206,19570
56466188600,Italy,113601,1295,5389
56439065300,Italy,55080,1185,17741
35221177400,Italy,52947,1074,17472
8935758600,Italy,42177,889,15997
35227145000,Italy,50993,787,15560
56029882700,Italy,52522,1053,17099
56283456000,Italy,41837,885,15009
35227025500,Italy,40373,1002,13958
35313391900,Italy,53660,1105,17827
35227259500,Italy,50895,1078,17419
6507798874,Italy,51890,912,16525
7005041971,Italy,53701,1214,19924
35227524200,Italy,50679,894,17314
57193657262,Italy,41848,758,14718
35226988800,Italy,53811,1100,18392
56808317900,Italy,51486,828,15524
35227851000,Italy,53131,1182,19934
24486670500,Italy,42238,760,14780
35315141700,Italy,53332,1106,19051
35231140700,Italy,38652,890,4428
35315017000,Italy,53808,1118,18347
38762508700,Italy,52998,1126,18612
35227061700,Italy,52314,1094,17653
7005129581,Italy,53660,1041,16940
35227028900,United States,50394,961,16034
56321805400,Italy,77582,1722,24086
7006077607,Italy,47323,957,5845
56978617500,Italy,52946,1404,23541
7003904703,Italy,50900,1162,19552
55538168200,Italy,57777,1144,18784
8083003800,Italy,46435,740,12926
56448205100,Italy,55726,1263,18947
7004434552,Italy,44986,957,16555
7102282953,Italy,37255,889,10057
24397155800,Italy,49989,996,17453
55143479900,Italy,42884,918,15555
35227173600,Italy,53897,964,17092
56448212300,Italy,49833,1093,16636
6603666346,Italy,41691,896,15660
35227857400,Italy,52268,1099,17935
35274580000,Italy,54891,1184,16616
7102779344,Italy,51320,1144,20689
35314113500,Italy,56067,1227,19231
7103341176,Italy,44150,1065,16985
7103293037,Italy,55179,1022,8144
35352109900,Italy,37231,953,7959
7006360645,Italy,50106,1134,19037
24375945000,Italy,46919,824,16486
10045464600,Italy,47716,786,15218
35395245000,Italy,36660,1218,2475
36044968500,Italy,22715,583,7848
